handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_ef2ba205-027f-09f0-1f62-2310da1142d4,Product,Nr: 2063 - Skål på fod Blåmalet Bing og Grøndahl B&G,<p><strong>Blåmalet - Bing og Grøndahl - B&amp;G - Hotel Porcelæn</strong></p><p><strong>Skål på fod</strong></p><p><strong>Nr: 2063</strong></p><p><strong>Materiale: Porcelæn</strong></p><p><strong>1.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Mål: Ø20x6.5cm</strong></p>,c38ac4_767d106cde4145df8b25723eb9a144dd~mv2.png;c38ac4_ea7155d6b6eb4621bf4c48e9f949c5c3~mv2.png;c38ac4_b5d4a43c5b4e4862a37fe3d59882eeff~mv2.png,B&G;Blåmalet,01179,,900.0,,true,PERCENT,0.0,2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f505ce1-afc7-390b-3170-195e34d62181,Product,Nr: 1/18 - Skål på fod Musselmalet Royal Copenhagen RC,<p><strong>Blue fluted - Royal Copenhagen - RC - Musselmalet</strong></p><p><strong>Bowl / Skål på fod</strong></p><p><strong>Nr: 1/18</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Arnold Krog</strong></p><p><strong>1.Quality&nbsp;/ 1.Sortering</strong></p><p><strong>Condition:&nbsp;No chip or cracks&nbsp;/ Ingen skår eller revner</strong></p><p><strong>Height / Højde: 6cm Diameter: 17cm</strong></p>,c38ac4_2787c2518aeb4f2f9399033e77e6371f~mv2.png;c38ac4_47942e1ffa9044a38e1c616591f85cf2~mv2.png;c38ac4_315a1f5e23524b8ba6c78836291de929~mv2.png,Musselmalet;Royal Copenhagen,03035,,1200.0,,true,PERCENT,0.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3516af62-114b-371e-8c90-f33dc816ec6c,Product,Nr: 502 - Et par sjælden lysestager Purpur Royal Copenhagen RC,"<p><strong>Purple -&nbsp;Purpur - Royal Copenhagen - RC</strong></p><p><strong>A pair of rare candlesticks /&nbsp;Et par sjælden lysestager</strong></p><p><strong>Nr: 503</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design: Arnold Krog</strong></p><p><strong>1.Quality / 1.Sortering </strong></p><p><strong>Condition: One is glued(rep), see photos&nbsp;/ Den ene er limet(rep), se billeder</strong></p><p><strong>Height / Højde : 23&nbsp;cm</strong></p>",c38ac4_0221e4362b6f4d3daed57ab40c9bf782~mv2.png;c38ac4_9ba5037083e8438db0c475475203dfbf~mv2.png;c38ac4_01da07ee947746aebd3b4993752073e5~mv2.png;c38ac4_45175afec64d4d44856edc6259fd3a9b~mv2.png;c38ac4_94581b7e31654a0baa9b41213dc33f09~mv2.png;c38ac4_0081f6ac7784478992b730b91f212622~mv2.png;c38ac4_382b857077d84a9fb4d793c148231c01~mv2.png,Royal Copenhagen;Purpur RC,03034,,20000.0,,true,PERCENT,0.0,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f8ab89ff-4733-2a03-7467-5be5714d3f32,Product,"Nr: 2175 - Forfordelt, siddende børn Bing og Grøndahl B&G","<p><strong>Bing og Grøndahl - B&amp;G&nbsp;</strong></p><p><strong>Forfordelt, siddende børn</strong></p><p><strong>Nr: 2175</strong></p><p><strong>Materiale: Porcelæn<br>Design: Claire Weiss</strong></p><p><strong>1.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Mål: H14xL12cm</strong></p>",c38ac4_abaf4740e1d74f45809763ab93deb89f~mv2.png;c38ac4_c1ba14c03144448e95dec2f0d5dc6e78~mv2.png;c38ac4_9e671537352645d2b48bf613461069f8~mv2.png,Figur B&G;Menneskelig figur;Figur;B&G,02812,,650.0,,true,PERCENT,0.0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_073a1f73-a043-7b05-92d5-d1a9fb438eae,Product,Peber Mega Blå - Musselmalet - Royal Copenhagen - RC,"<p><strong>Mega Blå - Musselmalet - Royal Copenhagen - RC</strong></p><p><strong>Peber - Står som ny</strong></p><p><strong><span style=""background-color: transparent;"">Materiale: Porcelæn</span></strong></p><p><strong>1.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Højde: 5cm</strong></p>",c38ac4_2134309fa36145e499ae41b9b79a8744~mv2.png;c38ac4_60de32f7b74441e1918551e0e0ea3617~mv2.png;c38ac4_ffe6723a1a224b3596c5c75f219c01d9~mv2.png;c38ac4_e0281a8d4f1b45f28535d286b3d3e449~mv2.png,Musselmalet;Royal Copenhagen;Mega,03033,,350.0,,false,PERCENT,0.0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4f9ef447-c71d-fb39-84c8-cf82bee8b0e9,Product,Kande - Purpur Bing og Grøndahl B&G,"<p><strong><span style=""background-color: transparent;"">Purpur&nbsp;- Bing og Grøndahl - B&amp;G</span></strong></p><p><font face=""HelveticaNeueW01-65Medi, HelveticaNeueW02-65Medi, HelveticaNeueW10-65Medi, sans-serif""><b>Kande</b></font></p><p><strong><span style=""background-color: transparent;"">Materiale: Porcelæn</span></strong></p><p><strong>1.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Højde: 21&nbsp;cm</strong></p>",c38ac4_7a5e895b88e04f06a4cb926eb2c54b14~mv2.png;c38ac4_d5bdb988e61c48c6a9ac0aee5744d10e~mv2.png;c38ac4_bce0d388650942949af202c561d9f366~mv2.png;c38ac4_4eb1678833204c1b9c5e6832b43e1a07~mv2.png,B&G;B&G Purpur,03031,,1200.0,,true,PERCENT,0.0,1,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_174b117d-5c25-9bd5-c351-20ab50b2091d,Product,Fad - Purpur Bing og Grøndahl B&G,"<p><strong><span style=""background-color: transparent;"">Purpur&nbsp;- Bing og Grøndahl - B&amp;G</span></strong></p><p><font face=""HelveticaNeueW01-65Medi, HelveticaNeueW02-65Medi, HelveticaNeueW10-65Medi, sans-serif""><b>Fad</b></font></p><p><strong><span style=""background-color: transparent;"">Materiale: Porcelæn</span></strong></p><p><strong>1.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Mål: 24x24&nbsp;cm</strong></p>",c38ac4_063c621b28b74a28be4fd4f440517240~mv2.png;c38ac4_e38d992575e04838962fe7715f881160~mv2.png,B&G;B&G Purpur,03030,,450.0,,true,PERCENT,0.0,1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d4a72123-0af0-af17-af25-0ad2eb1ede85,Product,Kaffekop - Purpur Bing og Grøndahl B&G,"<p><strong><span style=""background-color: transparent;"">Purpur&nbsp;- Bing og Grøndahl - B&amp;G</span></strong></p><p><font face=""HelveticaNeueW01-65Medi, HelveticaNeueW02-65Medi, HelveticaNeueW10-65Medi, sans-serif""><b>Kaffekop</b></font></p><p><strong><span style=""background-color: transparent;"">Materiale: Porcelæn</span></strong></p><p><strong>1.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Højde: 6.5 cm</strong></p>",c38ac4_91a7270973c144f4b416443cace01160~mv2.png;c38ac4_2abee67819c847e2bb9d3bee82e5cac0~mv2.png;c38ac4_248da0e7f70141a68e80864bd4b44be1~mv2.png,B&G;B&G Purpur,03029,,75.0,,true,PERCENT,0.0,5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a04396c5-dfcd-ed1c-a5ef-2cd47c72042b,Product,Kagetallerken - Purpur Bing og Grøndahl B&G,"<p><strong><span style=""background-color: transparent;"">Purpur&nbsp;- Bing og Grøndahl - B&amp;G</span></strong></p><p><font face=""HelveticaNeueW01-65Medi, HelveticaNeueW02-65Medi, HelveticaNeueW10-65Medi, sans-serif""><b>Kagetallerken</b></font></p><p><strong><span style=""background-color: transparent;"">Materiale: Porcelæn</span></strong></p><p><strong>1.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Diameter: 15.5 cm</strong></p>",c38ac4_6462e02ad0bc459b9bd32127222a0bb8~mv2.png;c38ac4_178c6af8e43f4ea3aed0dbfd0cb463d2~mv2.png;c38ac4_9d4498857464494cb23ef501c08eec2c~mv2.png,B&G;B&G Purpur,03028,,100.0,,true,PERCENT,0.0,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ef4b88c7-791b-4d32-41ef-f92a44b380df,Product,Musling skål - Purpur Bing og Grøndahl B&G,"<p><strong><span style=""background-color: transparent;"">Purpur&nbsp;- Bing og Grøndahl - B&amp;G</span></strong></p><p><font face=""HelveticaNeueW01-65Medi, HelveticaNeueW02-65Medi, HelveticaNeueW10-65Medi, sans-serif""><b>Musling skål</b></font></p><p><strong><span style=""background-color: transparent;"">Materiale: Porcelæn</span></strong></p><p><strong>1.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Mål: 17x17x5 cm</strong></p>",c38ac4_b6d2988b1bd54b54af9ab39224770686~mv2.png;c38ac4_4a2b9609bfbf4051868c5d87bac74ad6~mv2.png;c38ac4_f6d0d30698484bf38ee15bb671164c1a~mv2.png,B&G;B&G Purpur,03027,,350.0,,true,PERCENT,0.0,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
